Supplementary Table S2: Bioinformatics analysis of genes associated with CRC,,,,,,
,,,,,,
ENSEMBL ID,Gene,Chromosome Position,Adj p-value,log2FoldChange,Correlation,Total Mutations
ENSG00000062038.14,CDH3,16q22.1,1.00E-300,5.663695624,0.946213679,16
ENSG00000167767.14,KRT80,12q13.13,1.00E-300,6.557427218,0.932609113,9
ENSG00000175832.13,ETV4,17q21.31,3.57E-257,5.138516936,0.925245427,18
ENSG00000164283.13,ESM1,5q11.2,3.57E-257,5.709761698,0.919259959,10
ENSG00000164379.7,FOXQ1,6p25.3,6.37E-238,6.322761381,0.900579561,11
ENSG00000159263.16,SIM2,21q22.13,4.62E-225,7.401969836,0.883399333,15
ENSG00000105989.10,WNT2,7q31.2,5.59E-225,5.62639143,0.904141814,16
ENSG00000163347.6,CLDN1,3q28,1.54E-222,4.724103117,0.916795064,2
ENSG00000129474.16,AJUBA,14q11.2,5.42E-199,2.955916457,0.916730979,9
ENSG00000050344.9,NFE2L3,7p15.2,2.50E-175,2.726575409,0.905725629,26
ENSG00000142959.5,BEST4,1p34.1,1.72E-168,-5.838932373,-0.942409113,12
ENSG00000178773.15,CPNE7,16q24.3,5.78E-166,5.725011138,0.872880032,20
ENSG00000122641.11,INHBA,7p14.1,6.09E-160,5.432021991,0.886485905,46
ENSG00000170373.8,CST1,20p11.21,9.70E-157,8.267273308,0.816140464,19
ENSG00000172031.7,EPHX4,1p22.1,1.30E-156,4.424658473,0.873020739,18
ENSG00000136044.12,APPL2,12q23.3,8.28E-155,-1.855523511,-0.855271063,18
ENSG00000120254.16,MTHFD1L,6q25.1,1.23E-154,2.149088156,0.896118679,37
ENSG00000214039.9,LINC02418,12q24.33,1.83E-148,8.224902512,0.791396753,NA
ENSG00000137673.9,MMP7,11q22.2,1.95E-147,7.092598653,0.84630287,15
ENSG00000215193.13,PEX26,22q11.21,2.86E-147,-1.73543148,-0.795289155,5
ENSG00000181577.16,C6orf223,NA,7.15E-147,4.499396556,0.88975666,5
ENSG00000281406.2,BLACAT1,1q32.1,3.28E-144,5.135110178,0.853082145,NA
ENSG00000163959.10,SLC51A,3q29,1.16E-141,-3.900736505,-0.743965332,12
ENSG00000105464.3,GRIN2D,19q13.33,1.04E-138,4.805603989,0.841897016,38
ENSG00000167755.15,KLK6,19q13.41,5.94E-136,9.698957686,0.76711303,16
ENSG00000157193.18,LRP8,1p32.3,7.07E-134,2.890687237,0.885367698,23
ENSG00000101255.11,TRIB3,20p13,5.24E-132,3.750330681,0.874869855,13
ENSG00000139433.11,GLTP,12q24.11,1.06E-130,-1.633915218,-0.8675368,4
ENSG00000108244.17,KRT23,17q21.2,2.84E-128,7.319024862,0.758246006,15
ENSG00000254166.3,CASC19,8q24.21,4.19E-128,4.655849356,0.863686134,NA
ENSG00000060718.22,COL11A1,1p21.1,1.52E-127,5.986777699,0.841204325,106
ENSG00000103888.17,CEMIP,15q25.1,2.22E-127,4.11832123,0.883333699,41
ENSG00000245694.10,CRNDE,16q12.2,2.75E-127,4.96018779,0.829056517,NA
ENSG00000071539.14,TRIP13,5p15.33,1.35E-121,2.149656322,0.884009748,7
ENSG00000040199.18,PHLPP2,16q22.2,2.89E-121,-2.576447621,-0.848302737,30
ENSG00000162461.8,SLC25A34,1p36.21,5.15E-120,-3.786088336,-0.875823767,11
ENSG00000101187.16,SLCO4A1,20q13.33,6.26E-120,3.40566527,0.869587014,23
ENSG00000112559.15,MDFI,6p21.1,6.26E-120,3.583242237,0.857416127,4
