Supplementary Table S3: Bioinformatics analysis of genes associated with survival outcomes in CRC,,,,,,,
,,,,,,,
ENSEMBL ID,Gene,Chromosome Position,Adj p-value,Log2FoldChange,Correlation,Mutations in Alive,Mutations in Dead
ENSG00000000460.17,C1orf112,NA,0.036458683,-0.160812401,-0.150792459,11,6
ENSG00000001629.10,ANKIB1,7q21.2,0.033043378,-0.148263376,-0.09278829,20,9
ENSG00000002746.15,HECW1,7p14.1-p13,0.000711677,-0.653895644,-0.038526902,76,16
ENSG00000002822.15,MAD1L1,7p22.3,0.000968249,-0.605497099,-0.067059205,20,4
ENSG00000003096.14,KLHL13,Xq24,0.01239869,-0.575693545,-0.022287621,17,4
ENSG00000003987.14,MTMR7,8p22,0.00000951,-0.680059762,-0.172175601,11,5
ENSG00000004897.12,CDC27,17q21.32,0.028924515,-0.167927127,-0.111808567,14,3
ENSG00000005108.16,THSD7A,7p21.3,0.032908126,-0.427030558,-0.001532464,50,9
ENSG00000005339.15,CREBBP,16p13.3,0.019043652,-0.210964809,-0.043854741,58,13
ENSG00000005379.17,TSPOAP1,17q22,0.011808434,-0.488553,0.00384573,39,2
ENSG00000005421.9,PON1,7q21.3,0.011919367,-0.807291117,-0.106788143,14,1
ENSG00000005483.21,KMT2E,7q22.3,0.005722049,-0.279027349,-0.031081581,29,12
ENSG00000005700.15,IBTK,6q14.1,0.017710573,-0.209426171,-0.047988814,22,5
ENSG00000005810.18,MYCBP2,13q22.3,0.00000184,-0.527643551,-0.129993729,70,18
ENSG00000005889.16,ZFX,Xp22.11,0.003656772,-0.269634569,-0.140726556,13,4
ENSG00000006007.12,GDE1,16p12.3,0.013978393,-0.144066967,-0.14975042,3,0
ENSG00000006047.13,YBX2,17p13.1,0.026658998,0.293951591,0.104384882,11,1
ENSG00000006210.7,CX3CL1,16q21,0.000266859,0.512647888,0.154075987,6,2
ENSG00000006283.18,CACNA1G,17q21.33,0.000883927,-0.705389111,-0.11032859,47,16
ENSG00000006459.11,KDM7A,7q34,0.019821343,-0.252807135,-0.054933609,15,5
ENSG00000006534.16,ALDH3B1,11q13.2,0.009044497,0.290433918,0.161857987,10,2
ENSG00000006607.14,FARP2,2q37.3,0.008823937,-0.156396411,-0.1297833,18,7
ENSG00000006837.12,CDKL3,5q31.1,0.007608113,-0.395920552,-0.136642692,10,5
ENSG00000007047.15,MARK4,19q13.32,0.005473118,0.186093457,0.20576287,20,5
ENSG00000007168.14,PAFAH1B1,17p13.3,0.017765348,-0.133903487,-0.161977358,8,2
ENSG00000007171.18,NOS2,17q11.2,0.0000765,-0.793583216,-0.118154488,24,3
ENSG00000007174.18,DNAH9,17p12,0.000000917,-0.981886126,-0.179454019,73,16
ENSG00000007341.19,ST7L,1p13.2,0.018743801,-0.167748583,-0.213930144,6,5
ENSG00000007402.12,CACNA2D2,3p21.31,0.012189864,-0.470534196,-0.049100996,16,3
ENSG00000008056.14,SYN1,Xp11.3-p11.23,0.013184064,0.433906501,0.154105191,16,6
ENSG00000008086.13,CDKL5,Xp22.13,0.002831999,-0.415123033,-0.010005801,20,5
ENSG00000008118.10,CAMK1G,1q32.2,0.029711068,-0.363222594,-0.115925704,9,1
ENSG00000008226.20,DLEC1,3p22.2,0.018823515,-0.396587068,-0.080772587,26,11
ENSG00000008277.14,ADAM22,7q21.12,0.02829633,-0.334061124,-0.10727689,13,10
ENSG00000008294.21,SPAG9,17q21.33,0.00136741,-0.269449619,-0.135858968,21,9
ENSG00000008516.17,MMP25,16p13.3,0.031484707,-0.330401288,-0.097413128,10,5
ENSG00000009413.16,REV3L,6q21,0.000000875,-0.622622193,-0.130828366,48,13
ENSG00000009694.13,TENM1,Xq25,0.00071016,-0.934604417,-0.08020522,58,21
ENSG00000009724.17,MASP2,1p36.22,0.00000152,-0.689199563,-0.150438572,17,1
ENSG00000009950.16,MLXIPL,7q11.23,0.001897507,0.476464863,0.08272063,10,1
ENSG00000010404.18,IDS,Xq28,0.046032781,-0.213060004,-0.127564848,7,1
ENSG00000010818.10,HIVEP2,6q24.2,0.035682907,-0.221678619,-0.052935715,39,9
ENSG00000011105.14,TSPAN9,12p13.33-p13.32,0.016266556,0.217215445,0.114356924,4,2
ENSG00000011114.15,BTBD7,14q32.12,0.009290607,-0.181492808,-0.093650774,29,6
ENSG00000011198.10,ABHD5,3p21.33,0.007944583,-0.182581655,-0.137086258,5,2
ENSG00000011295.16,TTC19,17p12,0.034050829,-0.179365566,-0.09850882,3,1
ENSG00000011376.12,LARS2,3p21.31,0.018743801,-0.158841435,-0.144351722,11,2
ENSG00000011405.13,PIK3C2A,11p15.1,0.001487199,-0.327961761,-0.083969354,12,7
ENSG00000011566.15,MAP4K3,2p22.1,0.043505845,-0.174555279,-0.102379102,18,5
ENSG00000012048.23,BRCA1,17q21.31,0.008205662,-0.247860525,-0.125450765,19,4
ENSG00000012124.17,CD22,19q13.12,0.048215497,-0.415104156,-0.071364455,26,6
ENSG00000013297.12,CLDN11,3q26.2,0.00788157,0.506885056,0.126290202,8,1
ENSG00000013375.16,PGM3,6q14.1,0.039454672,-0.13925386,-0.127788363,10,3
ENSG00000013619.14,MAMLD1,Xq28,0.000299636,-0.602925525,-0.072418142,25,4
ENSG00000014824.14,SLC30A9,4p13,0.045755525,-0.138123302,-0.098356851,22,7
ENSG00000015153.15,YAF2,12q12,0.021261879,-0.202461367,-0.092892588,8,2
ENSG00000015479.20,MATR3,5q31.2,3.16E-08,-0.918158387,-0.100169051,18,6
ENSG00000016602.9,CLCA4,1p22.3,0.000239396,-1.148089018,-0.139823108,28,6
ENSG00000018408.15,WWTR1,3q25.1,0.042792439,0.289630585,0.107453596,7,1
ENSG00000018510.17,AGPS,2q31.2,0.002409565,-0.213329354,-0.118492,8,2
ENSG00000018869.17,ZNF582,19q13.43,0.012953768,-0.405860886,-0.087762941,8,4
ENSG00000019991.18,HGF,7q21.11,0.002752878,-0.471928477,-0.115067405,32,3
ENSG00000019995.6,ZRANB1,10q26.13,0.013036004,-0.177396657,-0.08856728,12,2
ENSG00000021826.17,CPS1,2q34,0.000000126,-1.40842872,-0.106646416,34,5
ENSG00000023287.13,RB1CC1,8q11.23,0.005262686,-0.309648734,-0.070070494,39,4
ENSG00000023516.9,AKAP11,13q14.11,0.005029244,-0.312754632,-0.053570109,27,10
ENSG00000023892.11,DEF6,6p21.31,0.030965809,0.201561673,0.189214448,8,1
ENSG00000024048.11,UBR2,6p21.1,0.013528274,-0.184625903,-0.135419527,22,4
ENSG00000024526.17,DEPDC1,1p31.3,0.006195109,-0.285898727,-0.160816876,19,3
ENSG00000026103.22,FAS,10q23.31,0.011918338,-0.321379728,-0.116549014,12,2
ENSG00000029725.17,RABEP1,17p13.2,0.013717589,-0.196282089,-0.093437907,10,3
ENSG00000030304.14,MUSK,9q31.3,3.25E-08,-1.392589187,-0.144967531,23,5
ENSG00000030419.16,IKZF2,2q34,0.006682328,-0.445274235,-0.089178462,12,4
ENSG00000031003.10,FAM13B,5q31.2,0.000044,-0.372858806,-0.179375151,13,6
ENSG00000031081.11,ARHGAP31,3q13.32-q13.33,0.019474197,-0.314223944,-0.055351288,29,11
ENSG00000033122.21,LRRC7,1p31.1,0.0000765,-0.656274905,-0.12992725,51,16
ENSG00000033178.13,UBA6,4q13.2,0.008457692,-0.238048815,-0.115372078,14,8
ENSG00000033800.14,PIAS1,15q23,0.004377145,-0.242282254,-0.098681347,15,2
ENSG00000033867.16,SLC4A7,3p24.1,0.000044,-0.480016081,-0.134058795,26,7
ENSG00000035928.16,RFC1,4p14,0.009468627,-0.165336998,-0.149673682,26,9
ENSG00000036257.13,CUL3,2q36.2,0.018762919,-0.123281742,-0.141551463,11,5
ENSG00000036549.13,ZZZ3,1p31.1,0.013271589,-0.1711843,-0.180007669,16,3
ENSG00000037637.11,FBXO42,1p36.13,0.023296877,-0.106516704,-0.154100145,9,3
ENSG00000037749.12,MFAP3,5q33.2,0.003070591,-0.244692775,-0.140044925,8,3
ENSG00000038219.13,BOD1L1,4p15.33,0.003318765,-0.297715402,-0.066666082,56,9
ENSG00000038382.20,TRIO,5p15.2,0.003060181,-0.271972817,-0.068113136,57,13
ENSG00000038427.16,VCAN,5q14.2-q14.3,0.003831957,-0.535502748,-0.040354662,59,12
ENSG00000039139.9,DNAH5,5p15.2,0.02174279,-0.448088427,-0.047911933,123,26
ENSG00000039319.17,ZFYVE16,5q14.1,0.0000466,-0.411235682,-0.159481248,22,4
ENSG00000039537.14,C6,5p13.1,0.019274582,-0.645944726,0.032629874,28,9
ENSG00000039600.11,SOX30,5q33.3,0.045146337,0.325562037,0.032871937,8,2
ENSG00000041515.16,MYO16,13q33.3,0.010890098,-0.529781021,-0.042970276,47,14
ENSG00000042062.13,RIPOR3,20q13.13,0.0000439,-0.551512369,-0.187597726,17,3
ENSG00000042429.12,MED17,11q21,0.044009383,-0.216901653,-0.065026162,2,3
ENSG00000042781.14,USH2A,1q41,1.21E-10,-1.357816736,-0.180465963,102,35
ENSG00000043462.13,LCP2,5q35.1,0.001457042,-0.468803313,-0.108330309,17,7
ENSG00000046889.19,PREX2,8q13.2,0.000340177,-0.615051853,-0.074438321,45,10
ENSG00000047188.16,YTHDC2,5q22.2,0.000727528,-0.261060621,-0.15518936,36,7
ENSG00000047315.17,POLR2B,4q12,0.016492912,-0.125939981,-0.158805495,16,6
ENSG00000047346.12,FAM214A,NA,0.019751709,-0.245927095,-0.056928216,20,10
ENSG00000047365.12,ARAP2,4p14,0.001161812,-0.372534204,-0.121408005,38,13
ENSG00000047617.15,ANO2,12p13.31,0.0000953,-0.623743241,-0.145965778,22,7
ENSG00000047936.11,ROS1,6q22.1,0.048268507,-0.589073945,-0.051970395,42,18
ENSG00000048405.10,ZNF800,7q31.33,0.014846161,-0.205891767,-0.096751417,15,3
ENSG00000048471.14,SNX29,16p13.13-p13.12,0.006122162,-0.261555626,-0.100841812,18,8
ENSG00000048649.13,RSF1,11q14.1,0.016766058,-0.223020339,-0.055425796,25,9
ENSG00000048707.15,VPS13D,1p36.22-p36.21,0.00000123,-0.517074743,-0.136091908,50,12
ENSG00000048991.16,R3HDM1,2q21.3,0.005636772,-0.190986284,-0.101895933,23,3
ENSG00000049192.15,ADAMTS6,5q12.3,0.014575622,-0.42097286,-0.009536512,22,5
ENSG00000049247.14,UTS2,1p36.23,0.039467002,0.523373463,0.033876924,3,0
ENSG00000049249.9,TNFRSF9,1p36.23,0.022884403,-0.338915535,-0.131849214,5,7
ENSG00000049618.24,ARID1B,6q25.3,0.004612633,-0.226802063,-0.120883877,41,6
ENSG00000049759.19,NEDD4L,18q21.31,0.012874479,-0.212311942,-0.150624414,25,4
ENSG00000050030.16,NEXMIF,Xq13.3,0.013341778,-0.711622644,-0.070170201,39,11
ENSG00000050555.19,LAMC3,9q34.12,0.001475198,-0.50264439,-0.137974075,41,12
ENSG00000050730.16,TNIP3,4q27,0.0000162,-0.75134366,-0.164162251,15,2
ENSG00000051341.14,POLQ,3q13.33,0.016355706,-0.265490075,-0.09524155,44,14
ENSG00000051825.15,MPHOSPH9,12q24.31,0.0000958,-0.370655416,-0.167009632,15,5
ENSG00000052795.13,FNIP2,4q32.1,0.006287788,-0.256043416,-0.088166974,15,4
ENSG00000053524.12,MCF2L2,3q27.1,0.00000532,-0.640417754,-0.136048165,31,6
ENSG00000054523.18,KIF1B,1p36.22,0.000787516,-0.297728243,-0.113127014,31,10
ENSG00000054654.19,SYNE2,14q23.2,0.003071939,-0.408205191,-0.063853799,75,23
ENSG00000055208.19,TAB2,6q25.1,0.00085609,-0.260271457,-0.131799494,11,6
ENSG00000055609.19,KMT2C,7q36.1,0.0000029,-0.563403033,-0.08596957,66,15
ENSG00000056586.16,RC3H2,9q33.2,0.002912939,-0.245367815,-0.134384501,15,4
ENSG00000057468.7,MSH4,1p31.1,0.0000925,-0.935661422,-0.092083731,16,4
ENSG00000057593.14,F7,13q34,0.03294021,0.59824782,0.044841999,10,3
ENSG00000057657.17,PRDM1,6q21,0.014242814,-0.290236373,-0.070519129,19,3
ENSG00000058063.16,ATP11B,3q26.33,0.000767915,-0.279768598,-0.121154428,17,3
ENSG00000058272.19,PPP1R12A,12q21.2-q21.31,0.036280769,-0.19283058,-0.034590627,7,9
ENSG00000058804.12,NDC1,1p32.3,0.007026122,-0.190934505,-0.141533311,12,4
ENSG00000059728.11,MXD1,2p13.3,0.043848116,-0.232662083,-0.073752684,7,1
ENSG00000060237.18,WNK1,12p13.33,0.020444336,-0.244263421,-0.028398914,39,12
ENSG00000060749.16,QSER1,11p13,0.006232982,-0.324743237,-0.047626862,28,3
ENSG00000060982.15,BCAT1,12p12.1,0.03312714,-0.41930739,-0.042146124,11,2
ENSG00000061337.15,LZTS1,8p21.3,0.047833733,0.265395603,0.150706848,22,4
ENSG00000061987.16,MON2,12q14.1,0.0000881,-0.414778355,-0.101274334,24,12
ENSG00000062650.19,WAPL,10q23.2,0.027565165,-0.147015428,-0.071702185,14,4
ENSG00000062716.13,VMP1,17q23.1,0.007485413,-0.272653421,-0.138074884,13,4
ENSG00000062725.10,APPBP2,17q23.2,0.018970165,-0.166528882,-0.154154062,5,3
ENSG00000063127.16,SLC6A16,19q13.33,0.004555145,-0.591447097,-0.062203653,18,2
ENSG00000063180.9,CA11,19q13.33,0.03071362,0.286682086,0.122321629,6,0
ENSG00000064012.22,CASP8,2q33.1,0.045122634,-0.12611298,-0.098787755,23,9
ENSG00000064205.10,CCN5,20q13.12,0.013541552,0.649104067,0.081145535,7,1
ENSG00000064300.9,NGFR,17q21.33,0.000014,0.825779919,0.138570363,12,3
